"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" ","18 Years and Over","Male",1275000
" "," ","Female",1352400
" ","20 Years and Over","Male",1219500
" "," ","Female",1297500
" ","90-94 Years","Male",2250
" "," ","Female",6380
" ","60 Years and Over","Male",248600
" "," ","Female",308400
" ","65 Years and Over","Male",178000
" "," ","Female",237400
" ","75 Years and Over","Male",62100
" "," ","Female",106200
" ","80 Years and Over","Male",30100
" "," ","Female",59200
" ","85 Years and Over","Male",10500
" "," ","Female",25600
" ","90 Years and Over","Male",2620
" "," ","Female",8060
" ","95 Years and Over","Male",370
" "," ","Female",1680
" ","Median Age (Years)","Male",31.6
" "," ","Female",33.0
" ","Total All Ages","Male",1784600
" "," ","Female",1837000
1995,"0 Years","Male",29760
" "," ","Female",28050
" ","1 Years","Male",29920
" "," ","Female",28130
" ","2 Years","Male",30440
" "," ","Female",28570
" ","3 Years","Male",31280
" "," ","Female",29110
" ","4 Years","Male",31580
" "," ","Female",29940
" ","5 Years","Male",30760
" "," ","Female",29590
" ","6 Years","Male",29910
" "," ","Female",28660
" ","7 Years","Male",29550
" "," ","Female",27970
" ","8 Years","Male",28190
" "," ","Female",26600
" ","9 Years","Male",27690
" "," ","Female",26590
" ","10 Years","Male",27500
" "," ","Female",26090
" ","11 Years","Male",27200
" "," ","Female",25760
" ","12 Years","Male",27030
" "," ","Female",25450
" ","13 Years","Male",27130
" "," ","Female",25500
" ","14 Years","Male",27750
" "," ","Female",26200
" ","15 Years","Male",27500
" "," ","Female",26120
" ","16 Years","Male",27080
" "," ","Female",26190
" ","17 Years","Male",26690
" "," ","Female",25830
" ","18 Years","Male",27510
" "," ","Female",26860
" ","19 Years","Male",27650
" "," ","Female",26960
" ","20 Years","Male",28140
" "," ","Female",28020
" ","21 Years","Male",28620
" "," ","Female",28630
" ","22 Years","Male",28680
" "," ","Female",28780
" ","23 Years","Male",28960
" "," ","Female",29350
" ","24 Years","Male",28770
" "," ","Female",29280
" ","25 Years","Male",27980
" "," ","Female",28670
" ","26 Years","Male",27920
" "," ","Female",28670
" ","27 Years","Male",27090
" "," ","Female",28530
" ","28 Years","Male",26840
" "," ","Female",28620
" ","29 Years","Male",27210
" "," ","Female",28410
" ","30 Years","Male",28160
" "," ","Female",29110
" ","31 Years","Male",29460
" "," ","Female",30520
" ","32 Years","Male",30030
" "," ","Female",31510
" ","33 Years","Male",30140
" "," ","Female",31700
" ","34 Years","Male",29770
" "," ","Female",31380
" ","35 Years","Male",29450
" "," ","Female",30270
" ","36 Years","Male",28890
" "," ","Female",29800
" ","37 Years","Male",27860
" "," ","Female",28690
" ","38 Years","Male",27510
" "," ","Female",28210
" ","39 Years","Male",26980
" "," ","Female",27760
" ","40 Years","Male",26290
" "," ","Female",27070
" ","41 Years","Male",25860
" "," ","Female",26480
" ","42 Years","Male",25150
" "," ","Female",25710
" ","43 Years","Male",25030
" "," ","Female",25240
" ","44 Years","Male",24830
" "," ","Female",24940
" ","45 Years","Male",24850
" "," ","Female",24940
" ","46 Years","Male",24910
" "," ","Female",24620
" ","47 Years","Male",24790
" "," ","Female",24840
" ","48 Years","Male",24550
" "," ","Female",24500
" ","49 Years","Male",21440
" "," ","Female",21390
" ","50 Years","Male",20010
" "," ","Female",20060
" ","51 Years","Male",19030
" "," ","Female",18730
" ","52 Years","Male",17770
" "," ","Female",17730
" ","53 Years","Male",18920
" "," ","Female",18900
" ","54 Years","Male",18770
" "," ","Female",18780
" ","55 Years","Male",17500
" "," ","Female",17480
" ","56 Years","Male",16040
" "," ","Female",16280
" ","57 Years","Male",15370
" "," ","Female",15490
" ","58 Years","Male",14760
" "," ","Female",15120
" ","59 Years","Male",14170
" "," ","Female",14440
" ","60 Years","Male",13910
" "," ","Female",13750
" ","61 Years","Male",13720
" "," ","Female",13820
" ","62 Years","Male",13690
" "," ","Female",13930
" ","63 Years","Male",13910
" "," ","Female",13900
" ","64 Years","Male",14270
" "," ","Female",14400
" ","65 Years","Male",13880
" "," ","Female",14210
" ","66 Years","Male",13550
" "," ","Female",13960
" ","67 Years","Male",13300
" "," ","Female",13720
" ","68 Years","Male",12890
" "," ","Female",13510
" ","69 Years","Male",12360
" "," ","Female",13400
" ","70 Years","Male",11710
" "," ","Female",13300
" ","71 Years","Male",10860
" "," ","Female",12730
" ","72 Years","Male",10240
" "," ","Female",12410
" ","73 Years","Male",9770
" "," ","Female",12410
" ","74 Years","Male",9130
" "," ","Female",11940
" ","75 Years","Male",8250
" "," ","Female",11300
" ","76 Years","Male",6750
" "," ","Female",9470
" ","77 Years","Male",6270
" "," ","Female",9350
" ","78 Years","Male",6150
" "," ","Female",9340
" ","79 Years","Male",5610
" "," ","Female",8630
" ","80 Years","Male",5080
" "," ","Female",8330
" ","81 Years","Male",4660
" "," ","Female",7690
" ","82 Years","Male",4060
" "," ","Female",7040
" ","83 Years","Male",3530
" "," ","Female",6260
" ","84 Years","Male",2920
" "," ","Female",5390
" ","85 Years","Male",2360
" "," ","Female",4880
" ","86 Years","Male",1950
" "," ","Female",4370
" ","87 Years","Male",1580
" "," ","Female",3560
" ","88 Years","Male",1310
" "," ","Female",2980
" ","89 Years","Male",1040
" "," ","Female",2540
" ","90 Years","Male",760
" "," ","Female",2040
" ","91 Years","Male",570
" "," ","Female",1640
" ","92 Years","Male",440
" "," ","Female",1260
" ","93 Years","Male",330
" "," ","Female",960
" ","94 Years","Male",230
" "," ","Female",780
" ","0-4 Years","Male",152980
" "," ","Female",143800
" ","5-9 Years","Male",146110
" "," ","Female",139420
" ","10-14 Years","Male",136610
" "," ","Female",129000
" ","15-19 Years","Male",136420
" "," ","Female",131960
" ","20-24 Years","Male",143160
" "," ","Female",144060
" ","25-29 Years","Male",137040
" "," ","Female",142900
" ","30-34 Years","Male",147570
" "," ","Female",154220
" ","35-39 Years","Male",140690
" "," ","Female",144730
" ","40-44 Years","Male",127160
" "," ","Female",129450
" ","45-49 Years","Male",120550
" "," ","Female",120300
" ","50-54 Years","Male",94500
" "," ","Female",94190
" ","55-59 Years","Male",77840
" "," ","Female",78820
" ","60-64 Years","Male",69510
" "," ","Female",69800
" ","65-69 Years","Male",65990
" "," ","Female",68790
" ","70-74 Years","Male",51700
" "," ","Female",62780
" ","75-79 Years","Male",33040
" "," ","Female",48090
" ","80-84 Years","Male",20250
" "," ","Female",34700
" ","85-89 Years","Male",8240
" "," ","Female",18320
" ","Under 15 Years","Male",435700
" "," ","Female",412200
" ","Under 16 Years","Male",463200
" "," ","Female",438300
" ","Under 18 Years","Male",517000
" "," ","Female",490400
" ","Under 20 Years","Male",572100
" "," ","Female",544200
" ","15-39 Years","Male",704900
" "," ","Female",717900
" ","15-49 Years","Male",952600
" "," ","Female",967600
" ","15-59 Years","Male",1124900
" "," ","Female",1140600
" ","40-64 Years","Male",489600
" "," ","Female",492600
" ","15-64 Years","Male",1194400
" "," ","Female",1210400
" ","15 Years and Over","Male",1376400
" "," ","Female",1451500
" ","16 Years and Over","Male",1348900
" "," ","Female",1425400
" ","18 Years and Over","Male",1295100
" "," ","Female",1373400
" ","20 Years and Over","Male",1239900
" "," ","Female",1319500
" ","90-94 Years","Male",2330
" "," ","Female",6670
" ","60 Years and Over","Male",251400
" "," ","Female",310900
" ","65 Years and Over","Male",181900
" "," ","Female",241100
" ","75 Years and Over","Male",64200
" "," ","Female",109500
" ","80 Years and Over","Male",31200
" "," ","Female",61400
" ","85 Years and Over","Male",11000
" "," ","Female",26700
" ","90 Years and Over","Male",2720
" "," ","Female",8400
" ","95 Years and Over","Male",390
" "," ","Female",1720
" ","Median Age (Years)","Male",31.9
" "," ","Female",33.3
" ","Total All Ages","Male",1812100
" "," ","Female",1863700
1996,"0 Years","Male",29660
" "," ","Female",27700
" ","1 Years","Male",29970
" "," ","Female",28220
" ","2 Years","Male",30230
" "," ","Female",28380
" ","3 Years","Male",30780
" "," ","Female",28850
" ","4 Years","Male",31620
" "," ","Female",29370
" ","5 Years","Male",31940
" "," ","Female",30230
" ","6 Years","Male",31130
" "," ","Female",29910
" ","7 Years","Male",30280
" "," ","Female",28950
" ","8 Years","Male",29900
" "," ","Female",28280
" ","9 Years","Male",28530
" "," ","Female",26910
" ","10 Years","Male",28040
" "," ","Female",26860
" ","11 Years","Male",27830
" "," ","Female",26390
" ","12 Years","Male",27540
" "," ","Female",26060
" ","13 Years","Male",27380
" "," ","Female",25750
" ","14 Years","Male",27480
" "," ","Female",25820
" ","15 Years","Male",28150
" "," ","Female",26540
" ","16 Years","Male",27870
" "," ","Female",26500
" ","17 Years","Male",27390
" "," ","Female",26510
" ","18 Years","Male",26930
" "," ","Female",25990
" ","19 Years","Male",27660
" "," ","Female",26950
" ","20 Years","Male",27670
" "," ","Female",26990
" ","21 Years","Male",27910
" "," ","Female",27800
" ","22 Years","Male",28110
" "," ","Female",28180
" ","23 Years","Male",28160
" "," ","Female",28340
" ","24 Years","Male",28500
" "," ","Female",29130
" ","25 Years","Male",28440
" "," ","Female",29300
" ","26 Years","Male",27910
" "," ","Female",28950
" ","27 Years","Male",28040
" "," ","Female",29220
" ","28 Years","Male",27450
" "," ","Female",29150
" ","29 Years","Male",27430
" "," ","Female",29310
" ","30 Years","Male",27910
" "," ","Female",29200
" ","31 Years","Male",28760
" "," ","Female",29780
" ","32 Years","Male",29930
" "," ","Female",31090
" ","33 Years","Male",30530
" "," ","Female",32110
" ","34 Years","Male",30670
" "," ","Female",32240
" ","35 Years","Male",30330
" "," ","Female",31860
" ","36 Years","Male",29880
" "," ","Female",30690
" ","37 Years","Male",29230
" "," ","Female",30170
" ","38 Years","Male",28220
" "," ","Female",29050
" ","39 Years","Male",27860
" "," ","Female",28570
" ","40 Years","Male",27380
" "," ","Female",28110
" ","41 Years","Male",26610
" "," ","Female",27400
" ","42 Years","Male",26130
" "," ","Female",26720
" ","43 Years","Male",25400
" "," ","Female",25930
" ","44 Years","Male",25270
" "," ","Female",25420
" ","45 Years","Male",25080
" "," ","Female",25080
" ","46 Years","Male",25040
" "," ","Female",25060
" ","47 Years","Male",25040
" "," ","Female",24700
" ","48 Years","Male",24910
" "," ","Female",24900
" ","49 Years","Male",24640
" "," ","Female",24520
" ","50 Years","Male",21500
" "," ","Female",21360
" ","51 Years","Male",20030
" "," ","Female",20010
" ","52 Years","Male",19000
" "," ","Female",18690
" ","53 Years","Male",17720
" "," ","Female",17690
" ","54 Years","Male",18840
" "," ","Female",18850
" ","55 Years","Male",18690
" "," ","Female",18730
" ","56 Years","Male",17420
" "," ","Female",17400
" ","57 Years","Male",15930
" "," ","Female",16210
" ","58 Years","Male",15260
" "," ","Female",15430
" ","59 Years","Male",14620
" "," ","Female",15030
" ","60 Years","Male",14010
" "," ","Female",14350
" ","61 Years","Male",13740
" "," ","Female",13660
" ","62 Years","Male",13550
" "," ","Female",13700
" ","63 Years","Male",13480
" "," ","Female",13810
" ","64 Years","Male",13690
" "," ","Female",13740
" ","65 Years","Male",14000
" "," ","Female",14220
" ","66 Years","Male",13580
" "," ","Female",14010
" ","67 Years","Male",13230
" "," ","Female",13760
" ","68 Years","Male",12940
" "," ","Female",13510
" ","69 Years","Male",12510
" "," ","Female",13280
" ","70 Years","Male",11940
" "," ","Female",13160
" ","71 Years","Male",11280
" "," ","Female",13030
" ","72 Years","Male",10450
" "," ","Female",12440
" ","73 Years","Male",9800
" "," ","Female",12080
" ","74 Years","Male",9320
" "," ","Female",12070
" ","75 Years","Male",8640
" "," ","Female",11580
" ","76 Years","Male",7770
" "," ","Female",10950
" ","77 Years","Male",6310
" "," ","Female",9110
" ","78 Years","Male",5850
" "," ","Female",8980
" ","79 Years","Male",5690
" "," ","Female",8930
" ","80 Years","Male",5160
" "," ","Female",8200
" ","81 Years","Male",4630
" "," ","Female",7890
" ","82 Years","Male",4220
" "," ","Female",7200
" ","83 Years","Male",3640
" "," ","Female",6520
" ","84 Years","Male",3140
" "," ","Female",5750
" ","85 Years","Male",2540
" "," ","Female",4900
" ","86 Years","Male",2030
" "," ","Female",4390
" ","87 Years","Male",1630
" "," ","Female",3900
" ","88 Years","Male",1330
" "," ","Female",3130
" ","89 Years","Male",1080
" "," ","Female",2570
" ","90 Years","Male",830
" "," ","Female",2150
" ","91 Years","Male",590
" "," ","Female",1690
" ","92 Years","Male",440
" "," ","Female",1360
" ","93 Years","Male",330
" "," ","Female",1010
" ","94 Years","Male",240
" "," ","Female",750
" ","0-4 Years","Male",152260
" "," ","Female",142520
" ","5-9 Years","Male",151780
" "," ","Female",144270
" ","10-14 Years","Male",138270
" "," ","Female",130880
" ","15-19 Years","Male",137990
" "," ","Female",132500
" ","20-24 Years","Male",140360
" "," ","Female",140440
" ","25-29 Years","Male",139280
" "," ","Female",145930
" ","30-34 Years","Male",147800
" "," ","Female",154410
" ","35-39 Years","Male",145520
" "," ","Female",150340
" ","40-44 Years","Male",130790
" "," ","Female",133570
" ","45-49 Years","Male",124710
" "," ","Female",124250
" ","50-54 Years","Male",97090
" "," ","Female",96600
" ","55-59 Years","Male",81910
" "," ","Female",82800
" ","60-64 Years","Male",68470
" "," ","Female",69250
" ","65-69 Years","Male",66270
" "," ","Female",68780
" ","70-74 Years","Male",52800
" "," ","Female",62790
" ","75-79 Years","Male",34270
" "," ","Female",49540
" ","80-84 Years","Male",20780
" "," ","Female",35560
" ","85-89 Years","Male",8600
" "," ","Female",18900
" ","Under 15 Years","Male",442300
" "," ","Female",417700
" ","Under 16 Years","Male",470500
" "," ","Female",444200
" ","Under 18 Years","Male",525700
" "," ","Female",497200
" ","Under 20 Years","Male",580300
" "," ","Female",550200
" ","15-39 Years","Male",710900
" "," ","Female",723600
" ","15-49 Years","Male",966400
" "," ","Female",981500
" ","15-59 Years","Male",1145400
" "," ","Female",1160900
" ","40-64 Years","Male",503000
" "," ","Female",506500
" ","15-64 Years","Male",1213900
" "," ","Female",1230100
" ","15 Years and Over","Male",1399500
" "," ","Female",1474400
" ","16 Years and Over","Male",1371300
" "," ","Female",1447800
" ","18 Years and Over","Male",1316100
" "," ","Female",1394800
" ","20 Years and Over","Male",1261500
" "," ","Female",1341900
" ","90-94 Years","Male",2430
" "," ","Female",6960
" ","60 Years and Over","Male",254000
" "," ","Female",313500
" ","65 Years and Over","Male",185600
" "," ","Female",244300
" ","75 Years and Over","Male",66500
" "," ","Female",112700
" ","80 Years and Over","Male",32200
" "," ","Female",63200
" ","85 Years and Over","Male",11500
" "," ","Female",27600
" ","90 Years and Over","Male",2860
" "," ","Female",8730
" ","95 Years and Over","Male",430
" "," ","Female",1770
" ","Median Age (Years)","Male",32.1
" "," ","Female",33.6
" ","Total All Ages","Male",1841800
" "," ","Female",1892100
1997,"0 Years","Male",29120
" "," ","Female",27810
" ","1 Years","Male",29750
" "," ","Female",27780
" ","2 Years","Male",30150
" "," ","Female",28380
" ","3 Years","Male",30400
" "," ","Female",28560
" ","4 Years","Male",30980
" "," ","Female",29060
" ","5 Years","Male",31800
" "," ","Female",29590
" ","6 Years","Male",32140
" "," ","Female",30500
" ","7 Years","Male",31380
" "," ","Female",30160
